gender,email,phone,cell,nat,name.title,name.first,name.last,location.street.number,location.street.name,location.city,location.state,location.country,location.postcode,location.coordinates.latitude,location.coordinates.longitude,location.timezone.offset,location.timezone.description,login.uuid,login.username,login.password,login.salt,login.md5,login.sha1,login.sha256,dob.date,dob.age,registered.date,registered.age,id.name,id.value,picture.large,picture.medium,picture.thumbnail
female,melodie.thompson@example.com,K16 G01-3181,W13 D80-9193,CA,Miss,Melodie,Thompson,6285,Stanley Way,Georgetown,Prince Edward Island,Canada,C6K 1Z1,45.0100,145.3468,-7:00,Mountain Time (US & Canada),de12ad5b-8d54-454d-b8d3-b56d66394025,brownpanda385,snuggles,2wquqZSG,8aab0a86c82f51aca2fc860b43a00abb,ca7796bbbaeb978e494bf13c52879ea900ad3c70,64c4a00305204294dce6c86500ad1ae1aa5673f8b5d3752c2d0f2e3bb2f0a2e1,1966-10-31T20:05:26.205Z,58,2019-01-05T05:33:42.350Z,6,SIN,714056041,https://randomuser.me/api/portraits/women/38.jpg,https://randomuser.me/api/portraits/med/women/38.jpg,https://randomuser.me/api/portraits/thumb/women/38.jpg
male,lee.richardson@example.com,015242 87904,07299 712509,GB,Mr,Lee,Richardson,9569,Manor Road,Chester,East Sussex,United Kingdom,XW9T 8BR,-59.9188,128.0437,-6:00,"Central Time (US & Canada), Mexico City",1d361d0e-2f53-4fed-9019-6275fd9262c1,redmeercat342,deftones,gFvHfPnB,bb856028d1d8dff5fcc6209b483de95a,da2ccb3c8a8414e85cae3c466f6ba670d3697b2b,bb3ece87331055e8019ff216a712baf2da279e2aed3e58058b72c873c2edf419,1947-02-11T01:58:24.511Z,78,2009-10-12T17:03:51.143Z,15,NINO,YK 93 07 15 C,https://randomuser.me/api/portraits/men/34.jpg,https://randomuser.me/api/portraits/med/men/34.jpg,https://randomuser.me/api/portraits/thumb/men/34.jpg
male,felix.mckinney@example.com,04-3137-2393,0454-826-287,AU,Mr,Felix,Mckinney,5913,Railroad St,Shepparton,Victoria,Australia,8328,-19.9378,27.4481,+5:45,Kathmandu,3a195dd1-6db4-41d1-bdfd-6619c2708907,yellowrabbit787,nightwin,zOjz5D8X,1d8af4248d5649bd0ca67bd6ec888269,93e7461624fe189dae274d76d4940f3dea5d4823,caf7964f416bc5c09b00576da9feb00fb273c5c506c67eaec6f16d707ac5997d,1950-05-26T16:36:48.552Z,75,2002-04-26T04:29:17.643Z,23,TFN,891172694,https://randomuser.me/api/portraits/men/52.jpg,https://randomuser.me/api/portraits/med/men/52.jpg,https://randomuser.me/api/portraits/thumb/men/52.jpg
male,kirk.daniels@example.com,(389) 539-3983,(447) 412-3538,US,Mr,Kirk,Daniels,497,Harrison Ct,Rockford,New Mexico,United States,26811,-69.6407,-139.4346,+9:30,"Adelaide, Darwin",a61f2929-c3f6-4351-9858-1a374a94055d,yellowlion319,descent,sdPRl052,5ee3382ac88471daf62d17e235db9aca,76ac4de849365ece6b5e483e826aa9097c24f8b5,59c3f9f09759521d2f1ee30d9864a0b7de12ac1b3a2fbb7af87387c9f5af4c48,1997-11-17T18:22:12.158Z,27,2009-03-25T08:23:10.622Z,16,SSN,535-89-2161,https://randomuser.me/api/portraits/men/27.jpg,https://randomuser.me/api/portraits/med/men/27.jpg,https://randomuser.me/api/portraits/thumb/men/27.jpg
male,antonio.riley@example.com,(583) 820-0997,(912) 903-7839,US,Mr,Antonio,Riley,1439,Washington Ave,Honolulu,Pennsylvania,United States,32038,-8.0450,135.0742,+1:00,"Brussels, Copenhagen, Madrid, Paris",566a7bf3-0873-4894-9f3f-a8d7aa0a74ce,organicswan512,vette,uxgOjJqg,5f1f38ab11d0c288fce3269d4f4f5a64,38d0eb15e90c044af1af7c2a68d000f0ed120350,3e49c68841ffbaeb00e61ec170986acbc6eab74e7de3d2484ef68c248d06610a,1967-11-15T15:20:12.875Z,57,2010-08-24T08:47:17.995Z,14,SSN,132-95-7592,https://randomuser.me/api/portraits/men/22.jpg,https://randomuser.me/api/portraits/med/men/22.jpg,https://randomuser.me/api/portraits/thumb/men/22.jpg
female,sam.fisher@example.com,015394 28565,07420 248289,GB,Miss,Sam,Fisher,3618,Grove Road,Bristol,Durham,United Kingdom,JG88 4RL,58.5911,-116.4321,-12:00,"Eniwetok, Kwajalein",1f737ebf-07f7-47b6-84e4-3894815d299d,silverelephant778,margaret,pGveumMA,461fe078807e52df20304ec5afe3147d,8ff7de6b6a86b5211fb495904b1f31b925ec2692,470bf05b31e8c2428b2577f5bb8f58285e011ef7b15d0a9e36fecd431bad3cef,1990-09-25T14:42:48.154Z,34,2016-11-25T07:38:25.202Z,8,NINO,BL 51 49 71 B,https://randomuser.me/api/portraits/women/9.jpg,https://randomuser.me/api/portraits/med/women/9.jpg,https://randomuser.me/api/portraits/thumb/women/9.jpg
female,aubree.brown@example.com,I92 E60-7046,O87 I73-7580,CA,Ms,Aubree,Brown,2219,Parliament St,Stratford,Nunavut,Canada,Y3D 0C7,-88.9176,-160.7767,-11:00,"Midway Island, Samoa",9ed0657a-89e3-4394-a1a9-b847b24bd475,heavydog152,rachael,kqKzGQev,530cc96590360c002e0d13c78ee0981e,54842a55d876badd7bc1861bab24295af4cf8066,92afd8533632b1c7148f4c952add0881ba1ba8d3d5bda9b7b98bc2e891effca7,1979-08-24T03:25:21.538Z,45,2014-10-21T01:33:58.735Z,10,SIN,095775318,https://randomuser.me/api/portraits/women/0.jpg,https://randomuser.me/api/portraits/med/women/0.jpg,https://randomuser.me/api/portraits/thumb/women/0.jpg
male,justin.park@example.com,F42 F08-8713,C95 X92-9501,CA,Mr,Justin,Park,3713,Dundas Rd,Burlington,Yukon,Canada,T4Q 8Z9,-68.8089,123.4741,+3:00,"Baghdad, Riyadh, Moscow, St. Petersburg",1c5e5ce5-4eec-4248-9e8a-e4910ccf8c44,sadgorilla444,reality,ibUa7B3R,e73df45077f938cf249cf5f3bf563ac5,e08d4cdd9f90a11b24e1694e8c565182c955e475,a3c2a89fb35681545a1b90c39e591d7b11ac725e0550781f57d6b793ba8617d7,2000-01-09T14:49:33.027Z,25,2008-02-25T16:41:31.701Z,17,SIN,332129683,https://randomuser.me/api/portraits/men/55.jpg,https://randomuser.me/api/portraits/med/men/55.jpg,https://randomuser.me/api/portraits/thumb/men/55.jpg
male,freddie.mills@example.com,08-5841-2072,0401-388-533,AU,Mr,Freddie,Mills,8756,W Gray St,Cairns,South Australia,Australia,1144,-24.1793,153.4788,+9:00,"Tokyo, Seoul, Osaka, Sapporo, Yakutsk",5a94772d-edfb-4d1a-a4e7-d5be6e51b291,whiterabbit388,gidget,DR1EWCyK,74f1b3805dc97c4a70ab8387f91b667a,f1719435c87247ba3c68b067e6ccec216e10d02d,4e11c6c081874509c46ecf045ba30892e8499a9ebb7034c14c2b9b93e156070f,1962-05-22T10:53:24.512Z,63,2006-05-19T08:37:47.690Z,19,TFN,811542273,https://randomuser.me/api/portraits/men/32.jpg,https://randomuser.me/api/portraits/med/men/32.jpg,https://randomuser.me/api/portraits/thumb/men/32.jpg
male,floyd.jones@example.com,02-3325-8329,0412-448-307,AU,Mr,Floyd,Jones,366,Adams St,Rockhampton,Western Australia,Australia,9334,87.6009,-20.6995,+8:00,"Beijing, Perth, Singapore, Hong Kong",59b9acc6-6a26-4e7f-8afc-c1086624b34f,happymouse620,ladyboy,9xSMntaE,1880a4b471e668f9782c96ee9e917cc5,717d418dec81cf21fce54a0bb45b9adc9f466786,764b9e0e72f14076f6ea9ec6204b756088165368190df3971dd3ae58aa2d3f30,1988-11-14T18:46:41.521Z,36,2005-12-08T15:33:37.829Z,19,TFN,983352512,https://randomuser.me/api/portraits/men/83.jpg,https://randomuser.me/api/portraits/med/men/83.jpg,https://randomuser.me/api/portraits/thumb/men/83.jpg
